doi	title	Algeria	Argentina	Bosnia and Herzegovina	Brazil	Chile	Colombia	Costa Rica	Croatia	Cyprus	Czechia	Egypt	Ethiopia	Fiji	Greece	Hong Kong	Hungary	India	Indonesia	Iran, Islamic Republic of	Israel	Japan	Korea, Republic of	Lebanon	Malaysia	Mexico	Morocco	Pakistan	Peru	Philippines	Poland	Puerto Rico	Qatar	Romania	Russian Federation	Saudi Arabia	Senegal	Serbia	Singapore	Slovenia	South Africa	Syrian Arab Republic	Taiwan, Province of China	Thailand	Tunisia	Turkey	United Arab Emirates	Venezuela, Bolivarian Republic of	Viet Nam	Yemen
10.1093/database/baw152	Reefgenomics.Org - a repository for marine genomics data																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1093/nar/19.23.6565	Automated assembly of protein blocks for database searching																																								{'I1326427960': 'Cape Town HVTN Immunology Laboratory / Hutchinson Centre Research Institute of South Africa'}									
10.1093/nar/29.1.246	ARED: human AU-rich element-containing mRNA database reveals an unexpectedly diverse functional repertoire of encoded proteins																																			{'I2800965796': 'King Faisal Specialist Hospital & Research Centre'}														
10.1093/nar/30.1.412	TTD: Therapeutic Target Database																																						{'I165932596': 'National University of Singapore'}											
10.1093/nar/gkab1082	DisProt in 2022: improved quality and accessibility of protein intrinsic disorder annotation		{'I151201029': 'National Scientific and Technical Research Council', 'I2801749607': 'Fundación Instituto Leloir', 'I138504249': 'National University of Quilmes'}							{'I34771391': 'University of Cyprus'}	{'I21250087': 'Charles University'}						{'I106118109': 'Eötvös Loránd University', 'I31882830': 'Pázmány Péter Catholic University'}																					{'I4068193': 'University of Belgrade'}												
10.1093/nar/gkh070	Human protein reference database as a discovery resource for proteomics																	{'I4210148697': 'Institute of Bioinformatics'}																																
10.1093/nar/gki053	CYGD: the Comprehensive Yeast Genome Database																	{'I4210148697': 'Institute of Bioinformatics'}																																
10.1093/nar/gki450	ArrayXPath II: mapping and visualizing microarray gene-expression data with biomedical ontologies and integrated biological pathway resources using Scalable Vector Graphics												{'I2802457231': 'New Generation University College'}																																					
10.1093/nar/gki892	Expansion of the BioCyc collection of pathway/genome databases to 160 genomes																	{'I4210148697': 'Institute of Bioinformatics'}				{'I2799600557': 'Japan External Trade Organization'}																												
10.1093/nar/gkj141	Human protein reference database--2006 update																	{'I4210148697': 'Institute of Bioinformatics'}																																
10.1093/nar/gkl881	Xanthusbase: adapting wikipedia principles to a model organism database																													{'I4210100400': 'Northwestern University'}																				
10.1093/nar/gkm959	ARED Organism: expansion of ARED reveals AU-rich element cluster variations between human and mouse																																			{'I2800965796': 'King Faisal Specialist Hospital & Research Centre'}														
10.1093/nar/gkn892	Human Protein Reference Database--2009 update																	{'I4210148697': 'Institute of Bioinformatics', 'I178319760': 'Kuvempu University'}																																
10.1093/nar/gkp1021	CAMP: a useful resource for research on antimicrobial peptides																	{'I143929237': 'National Institute for Research in Reproductive Health'}																																
10.1093/nar/gkq1173	Towards BioDBcore: a community-defined information specification for biological databases																					{'I73613424': 'National Institute of Advanced Industrial Science and Technology'}								{'I4210100400': 'Northwestern University'}									{'I165932596': 'National University of Singapore'}											
10.1093/nar/gkt1072	Manually curated database of rice proteins																	{'I110166357': 'University of Delhi'}																																
10.1093/nar/gku892	CancerPPD: a database of anticancer peptides and proteins																	{'I4210147764': 'Institute of Microbial Technology'}																																
10.1093/nar/gkw1008	RNAcentral: a comprehensive database of non-coding RNA sequences														{'I145722265': 'University of Thessaly'}							{'I118574687': 'University of Miyazaki'}									{'I4654613': 'University of Warsaw', 'I59411706': 'Adam Mickiewicz University in Poznań'}																			
10.1093/nar/gkw1108	Expansion of the Gene Ontology knowledgebase and resources																													{'I4210100400': 'Northwestern University'}																				
10.1093/nar/gkx1042	Human Ageing Genomic Resources: new and updated databases																				{'I124227911': 'Ben-Gurion University of the Negev'}													{'I58077936': 'Romanian Academy'}					{'I165932596': 'National University of Singapore', 'I3089745140': 'Yale-NUS College'}											
10.1093/nar/gky944	Cucurbit Genomics Database (CuGenDB): a central portal for comparative and functional genomics of cucurbit crops																				{'I376102': 'Agricultural Research Organization'}																													
10.1093/nar/gky995	The Pfam protein families database in 2019																												{'I65285256': 'Pontifical Catholic University of Peru'}																					
10.1093/nar/gkz896	miRTarBase 2020: updates to the experimentally validated microRNA–target interaction database																																										{'I148366613': 'National Yang Ming Chiao Tung University', 'I16733864': 'National Taiwan University', 'I4210098366': 'Institute of Information Science, Academia Sinica'}							
10.1093/pcp/pcs185	STIFDB2: An Updated Version of Plant Stress-Responsive TranscrIption Factor DataBase with Additional Stress Signals, Stress-Responsive Transcription Factor Binding Sites and Stress-Responsive Genes in Arabidopsis and Rice																	{'I194223965': 'National Centre for Biological Sciences', 'I199921877': 'University of Agricultural Sciences, Bangalore'}																																
10.1093/pcp/pct176	KNApSAcK Metabolite Activity Database for Retrieving the Relationships Between Metabolites and Biological Activities																		{'I21881038': 'Bogor Agricultural University'}			{'I75917431': 'Nara Institute of Science and Technology', 'I42766147': 'University of Toyama'}																												
10.1101/2020.05.07.082164	Machine learning with biomedical ontologies																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1101/536649	Formal axioms in biomedical ontologies improve analysis and interpretation of associated data																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1101/653105	The CAFA challenge reports improved protein function prediction and new functional annotations for hundreds of genes through experimental screens																				{'I1294667018': 'Compugen', 'I197251160': 'Hebrew University of Jerusalem'}																	{'I4068193': 'University of Belgrade'}		{'I3006985408': 'Jožef Stefan Institute'}			{'I25846049': 'National Tsing Hua University'}			{'I201799495': 'Middle East Technical University'}				
10.1104/pp.17.00242	ChloroKB: A Web Application for the Integration of Knowledge Related to Chloroplast Metabolic Network																										{'I1314251682': 'Institut National de la Recherche Agronomique'}																							
10.1109/aims.2013.28	Comparison of Similarity Coefficients for Chemical Database Retrieval																								{'I885383172': 'National University of Malaysia', 'I139322472': 'Universiti Sains Malaysia'}																									
10.1109/cse.2013.85	A Distributed Data Allocation Algorithm for Biological Databases				{'I4104125': 'Universidade Federal de Santa Catarina'}																																													
10.1109/icriis.2017.8002465	Knowledge graph construction and search for biological databases																																														{'I201726411': 'United Arab Emirates University'}			
10.1109/jbhi.2016.2625299	Private and Efficient Query Processing on Outsourced Genomic Databases																			{'I67009956': 'Iran University of Science and Technology'}																														
10.1111/all.13201	Allergen immunotherapy for allergic rhinoconjunctivitis: A systematic review and meta‐analysis									{'I34771391': 'University of Cyprus'}					{'I200777214': 'National and Kapodistrian University of Athens'}							{'I80188885': 'Nippon Medical School'}			{'I11662577': 'Monash University Malaysia'}	{'I4210103085': 'Hospital Médica Sur'}																				{'I51209816': 'Eskişehir Osmangazi University'}				
10.1111/bph.13621	Curcumin, the golden nutraceutical: multitargeting for multiple chronic diseases																	{'I1317621060': 'Indian Institute of Technology Guwahati'}																																
10.1128/aem.68.8.3691-3701.2002	Identification of the Bacterial Microflora in Dairy Products by Temporal Temperature Gradient Gel Electrophoresis																										{'I1314251682': 'Institut National de la Recherche Agronomique'}																							
10.1136/tobaccocontrol-2014-051903	The global epidemiology of waterpipe smoking																																									{'I4210139754': 'Syrian Center for Tobacco Studies'}								{'I70374766': 'University of Aden'}
10.1145/1620432.1620458	A model for matching and integrating heterogeneous relational biomedical databases schemas																								{'I130343225': 'Universiti Putra Malaysia'}																									
10.1145/3102254.3102284	On the composition of large biomedical ontologies alignment																																												{'I108714496': 'Tunis University'}					
10.1186/1471-2105-13-s11-s2	Overview of the ID, EPI and REL tasks of BioNLP Shared Task 2011																					{'I74801974': 'University of Tokyo'}																												
10.1186/1471-2105-13-s7-s2	ProDis-ContSHC: learning protein dissimilarity measures and hierarchical context coherently for protein-protein comparison in protein database retrieval																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/1471-2105-9-121	SciDBMaker: new software for computer-aided design of specialized biological databases																																												{'I108714496': 'Tunis University'}					
10.1186/1471-2164-11-s4-s1	Challenges of the next decade for the Asia Pacific region: 2010 International Conference in Bioinformatics (InCoB 2010)																					{'I207014233': 'Kyushu Institute of Technology', 'I74801974': 'University of Tokyo'}																	{'I165932596': 'National University of Singapore'}											
10.1186/1475-2875-6-120	World Antimalarial Resistance Network (WARN) II: In vitro antimalarial drug susceptibility																												{'I2802934987': 'Naval Medical Research Unit Six'}								{'I4210137838': 'Institut Pasteur de Dakar'}							{'I4210112607': 'Armed Forces Research Institute of Medical Science'}						
10.1186/1752-0509-6-s2-s2	IntPath--an integrated pathway gene relationship database for model organisms and important pathogens																														{'I4654613': 'University of Warsaw'}								{'I165932596': 'National University of Singapore'}											
10.1186/1756-0500-3-93	CUDASW++2.0: enhanced Smith-Waterman protein database search on CUDA-enabled GPUs based on SIMT and virtualized SIMD abstractions																																						{'I172675005': 'Nanyang Technological University'}											
10.1186/2041-1480-2-s1-s3	Mapping between the OBO and OWL ontology languages				{'I17974374': 'Universidade de São Paulo'}																																													
10.1186/2041-1480-2-s5-s3	Improving the extraction of complex regulatory events from scientific text by using ontology-based inference																																						{'I172675005': 'Nanyang Technological University'}											
10.1186/2041-1480-2-s5-s9	OMG U got flu? Analysis of shared health messages for bio-surveillance																					{'I184597095': 'National Institute of Informatics'}																											{'I123565023': 'Vietnam National University, Ho Chi Minh City'}	
10.1186/2041-1480-5-39	The Porifera Ontology (PORO): enhancing sponge systematics with an anatomy ontology																																															{'I4210110667': 'Universidad de Margarita'}		
10.1186/s12859-017-1840-4	BioCarian: search engine for exploratory searches in heterogeneous biological databases																																														{'I201726411': 'United Arab Emirates University'}			
10.1186/s12864-017-4429-4	Genomic repeats, misassembly and reannotation: a case study with long-read resequencing of Porphyromonas gingivalis reference strains							{'I31944674': 'University of Costa Rica'}																																										
10.1186/s12879-016-1417-2	Co-distribution and co-infection of chikungunya and dengue viruses																																						{'I146586912': 'National Environment Agency'}											
10.1186/s12911-020-01336-2	Towards semantic interoperability: finding and repairing hidden contradictions in biomedical ontologies																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/s13020-015-0051-z	Network pharmacological identification of active compounds and potential actions of Erxian decoction in alleviating menopause-related symptoms															{'I1322227051': 'Li Ka Shing Faculty of Medicine, University of Hong Kong'}																																		
10.1186/s13059-016-1037-6	An expanded evaluation of protein function prediction methods shows an improvement in accuracy																				{'I197251160': 'Hebrew University of Jerusalem'}																						{'I84653119': 'Academia Sinica'}							
10.1186/s13059-019-1835-8	The CAFA challenge reports improved protein function prediction and new functional annotations for hundreds of genes through experimental screens																				{'I1294667018': 'Compugen', 'I197251160': 'Hebrew University of Jerusalem'}																	{'I4068193': 'University of Belgrade'}		{'I3006985408': 'Jožef Stefan Institute'}			{'I25846049': 'National Tsing Hua University'}			{'I66514158': 'Hacettepe University', 'I201799495': 'Middle East Technical University'}				
10.1186/s13321-015-0087-1	MINEs: open access databases of computationally predicted enzyme promiscuity products for untargeted metabolomics																																			{'I185163786': 'King Abdulaziz University'}														
10.1186/s13326-015-0001-9	Similarity-based search of model organism, disease and drug effect phenotypes																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/s13326-015-0004-6	Supporting the annotation of chronic obstructive pulmonary disease (COPD) phenotypes with text mining workflows																													{'I87074743': 'University of the Philippines Diliman'}																				
10.1186/s13326-015-0014-4	Annotation-based feature extraction from sets of SBML models																																								{'I26092322': 'Stellenbosch University'}									
10.1186/s13326-016-0090-0	Using AberOWL for fast and scalable reasoning over BioPortal ontologies																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/s13326-016-0107-8	The flora phenotype ontology (FLOPO): tool for integrating morphological traits and phenotypes of vascular plants																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/s13326-017-0112-6	SAFE: SPARQL Federation over RDF Data Cubes with Access Control					{'I69737025': 'University of Chile'}																																												
10.1186/s13326-017-0116-2	SNPPhenA: a corpus for extracting ranked associations of single-nucleotide polymorphisms and phenotypes from literature																			{'I23946033': 'University of Tehran', 'I202419968': 'Royan Institute'}																														
10.1186/s13326-017-0119-z	Evaluating the effect of annotation size on measures of semantic similarity																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/s13326-017-0127-z	Ontological interpretation of biomedical database content				{'I25112270': 'Federal University of Pernambuco'}																																													
10.1186/s13326-017-0161-x	Drug target ontology to classify and integrate drug discovery data																	{'I863896202': 'Delhi Technological University'}																																
10.1186/s13326-017-0167-4	Integrating phenotype ontologies with PhenomeNET																																			{'I71920554': 'King Abdullah University of Science and Technology'}														
10.1186/s40246-018-0147-5	The development of large-scale de-identified biomedical databases in the age of genomics—principles and challenges																							{'I168913471': 'University of Balamand'}																							{'I201726411': 'United Arab Emirates University'}			
10.1371/journal.pone.0181748	THPdb: Database of FDA-approved peptide and protein therapeutics																	{'I4210147764': 'Institute of Microbial Technology'}																																
10.1371/journal.pone.0235670	UFO: A tool for unifying biomedical ontology-based semantic similarity calculation, enrichment analysis and visualization																																																{'I182526193': 'Thuyloi University'}	
10.1590/s1415-47572012005000019	Xylella fastidiosa comparative genomic database is an information resource to explore the annotation, genomic features, and biology of different strains				{'I4210142352': 'Laboratório Nacional de Computação Científica'}																																													
10.2174/138945009787581195	Genomic Databases and the Search of Protein Targets for Protozoan Parasites				{'I45643870': 'Pontifical Catholic University of Rio Grande do Sul'}																																													
10.2174/157340991102150904101740	Exploring Natural Products from the Biodiversity of Pakistan for Computational Drug Discovery Studies: Collection, Optimization, Design and Development of A Chemical Database (ChemDP)																											{'I16076960': 'COMSATS University Islamabad'}																						
10.2217/pgs.10.79	Interethnic comparisons of important pharmacology genes using SNP databases: potential application to drug regulatory assessments																																						{'I66068411': 'Genome Institute of Singapore', 'I165932596': 'National University of Singapore', 'I2799333108': 'Health Sciences Authority'}											
10.2218/gtopdb/f39/2019.4	Melatonin receptors (version 2019.4) in the IUPHAR/BPS Guide to Pharmacology Database		{'I29406707': 'Pontifical Catholic University of Argentina'}									{'I96823368': 'German University in Cairo'}																																						
10.2218/gtopdb/f50/2019.4	Opioid receptors (version 2019.4) in the IUPHAR/BPS Guide to Pharmacology Database																{'I7597260': 'Hungarian Academy of Sciences'}					{'I43777268': 'Nagasaki University'}																												
10.2218/gtopdb/f79/2019.4	Two P domain potassium channels (version 2019.4) in the IUPHAR/BPS Guide to Pharmacology Database					{'I89106005': 'Centro de Estudios Científicos'}											{'I101202996': 'Semmelweis University'}									{'I87182695': 'Universidad del Noreste'}																								
10.2486/indhealth.39.341	Relationships between Chemical Structures and Mutagenicity: A Preliminary Survey for a Database of Mutagenicity Test Results of New Work Place Chemicals.																	{'I864998749': 'National Institute of Industrial Engineering'}				{'I4210123575': 'Japan Bio Products'}																												
10.3892/mmr.2017.7149	Identification of the active compounds and significant pathways of yinchenhao decoction based on network pharmacology															{'I1322227051': 'Li Ka Shing Faculty of Medicine, University of Hong Kong'}																																		
10.4338/aci-2014-06-cr-0054	The Process of Installing REDCap, a Web Based Database Supporting Biomedical Research																																								{'I192619145': 'University of the Witwatersrand'}									
10.5194/essd-4-47-2012	Database of diazotrophs in global ocean: abundance, biomass and nitrogen fixation rates																				{'I13955877': 'Bar-Ilan University'}	{'I74801974': 'University of Tokyo'}				{'I8961855': 'National Autonomous University of Mexico'}				{'I177453986': 'Marine Science Institute'}													{'I142974352': 'National Sun Yat-sen University'}							
10.5455/aim.2012.20.72-84	On-line Biomedical Databases and #8211;the Best Source for Quick Search of the Scientific Information in the Biomedicine			{'I4210107857': 'Academy of Medical Sciences of Bosnia and Herzegovina'}																																														
10.6026/97320630009588	Design and development of portal for biological database in agriculture																	{'I1141210': 'Indian Agricultural Statistics Research Institute'}																																
